price_bins,model_year,cylinders,wheels_size,time_owned,per_year_cost,per_kkm_cost,car_type_suv,car_interior_rare,fuel_type_id,mileage_distribution_id,premium_manufacturers,car_location_Dubai
8,2022,6,20,1,398000,398000,1,1,1,1,0,1.0
9,2020,8,22,0,203333,12788,1,0,1,1,1,1.0
6,2022,6,18,1,199000,19702,0,0,1,1,1,1.0
5,2022,4,17,1,119000,4288,1,1,1,1,0,1.0
2,2017,4,18,0,7166,255,0,1,1,0,0,1.0
3,2019,4,17,0,14250,735,1,0,1,0,0,1.0
4,2015,8,18,0,10625,809,1,0,1,0,1,1.0
5,2023,4,17,1,135000,135000,0,0,2,1,0,1.0
6,2021,6,19,0,97500,1666,1,1,1,0,0,1.0
4,2023,4,19,1,97000,97000,1,0,1,1,0,1.0
6,2023,4,18,1,180000,180000,0,1,2,1,1,1.0
8,2023,6,22,1,475000,475000,1,1,1,1,1,1.0
7,2019,8,18,0,52250,1917,0,1,1,0,1,1.0
5,2023,8,16,1,149000,149000,0,0,1,1,0,1.0
4,2020,8,20,0,27666,1596,0,0,1,0,0,1.0
8,2020,4,20,0,115000,9773,0,1,1,1,1,1.0
9,2023,8,21,1,599000,79866,0,1,1,1,1,1.0
4,2021,6,20,0,45500,6218,1,0,1,1,0,1.0
4,2021,4,19,0,45000,3600,1,1,1,1,0,1.0
4,2022,4,18,1,85000,2833,0,1,1,1,0,1.0
6,2023,6,17,1,179000,179000,1,0,1,1,0,1.0
2,2017,4,16,0,7833,795,0,0,1,0,0,1.0
7,2023,6,17,1,219000,219000,1,0,1,1,0,1.0
3,2017,6,18,0,10333,607,1,0,1,0,0,1.0
4,2020,4,20,0,27333,2815,0,0,1,1,0,1.0
5,2024,4,17,1,-108000,108000,1,0,1,1,0,1.0
10,2021,8,20,0,1224500,1166190,0,0,1,1,1,1.0
5,2017,6,20,0,22500,675,1,0,2,0,1,1.0
6,2019,4,19,0,44750,7552,0,1,1,1,1,1.0
5,2021,8,20,0,55000,1375,0,1,1,0,0,0.0
7,2023,6,20,1,224000,224000,1,0,1,1,0,1.0
2,2020,4,16,0,13000,360,0,0,1,0,0,1.0
6,2021,6,22,0,79500,3244,1,0,1,1,0,1.0
7,2017,8,20,0,38333,3042,0,0,1,0,1,1.0
4,2023,4,20,1,86000,21500,1,0,1,1,0,1.0
5,2021,4,18,0,52500,2916,0,1,1,1,1,1.0
8,2019,8,21,0,80000,6866,1,0,1,1,1,1.0
3,2020,4,17,0,19666,405,1,0,1,0,0,1.0
9,2022,8,23,1,799000,799000,1,1,1,1,1,1.0
8,2022,6,20,1,429000,37304,0,0,1,1,1,1.0
7,2019,6,20,0,56250,2586,1,1,1,0,1,1.0
6,2021,4,18,0,87500,2064,0,1,1,0,1,1.0
6,2018,4,18,0,39000,2562,0,0,1,0,0,1.0
4,2024,4,20,1,-78000,78000,1,0,1,1,0,1.0
4,2018,4,17,0,19800,1513,0,1,1,0,1,1.0
4,2018,4,17,0,19800,1692,0,1,1,0,1,1.0
7,2023,6,20,1,269000,269000,1,0,1,1,0,1.0
3,2023,4,18,1,63000,63000,1,1,1,1,0,1.0
5,2023,6,16,1,142000,142000,0,1,1,1,0,1.0
3,2019,4,15,0,13750,2500,1,0,1,1,0,0.0
5,2009,8,19,0,8000,1120,0,1,1,0,1,1.0
7,2021,8,18,0,124500,3591,1,0,1,0,0,1.0
3,2017,4,18,0,11166,1044,0,0,1,0,0,1.0
7,2023,6,20,1,205000,205000,1,0,1,1,1,1.0
7,2013,8,20,0,29000,3536,0,1,1,0,1,1.0
2,2016,4,16,0,6428,505,1,0,1,0,0,0.0
4,2018,4,19,0,17800,814,1,0,1,0,0,1.0
4,2019,4,18,0,19750,7900,1,0,1,1,0,1.0
3,2020,4,18,0,16666,649,1,0,1,0,0,1.0
6,2023,6,18,1,199000,199000,1,0,1,1,0,1.0
5,2021,8,20,0,67500,22500,0,0,1,1,0,1.0
9,2020,8,20,0,299666,63533,0,1,1,1,1,1.0
5,2021,4,17,0,51500,2493,0,1,1,1,1,1.0
9,2023,6,22,1,640000,640000,1,1,1,1,1,1.0
7,2016,8,21,0,33857,2584,1,0,1,0,1,1.0
7,2017,8,20,0,38000,3352,0,1,1,0,1,1.0
2,2018,4,16,0,9800,227,0,0,1,0,0,1.0
6,2020,8,19,0,65666,1534,1,0,1,0,0,1.0
