link,title,article,кластер,emotion
https://www.d-kvadrat.ru/novosti/24796,"В Удмуртии простились с Константином Кутяновым, погибшим в ходе СВО"," марта в Удмуртии простились с Константином Кутяновым, погибшим в ходе спецоперации. Об этом сообщил глава Увинского района Владимир Головин. Константин Кутянов родом из села Булай Увинского района Удмуртии. В специальной военной операции участвовал в качестве добровольца. Пп  информации из соцсетей  в составе ЧВК Вагнер.  Выражаю искренние соболезнования родным и близким,  отметил глава Увинского района Владимир Головин. Редакция Делового квадрата присоединяется к соболезнованиям. Напомним, вчера,  марта, похоронили Андрея Сухих из Ижевска, погибшего на Украине.",0,Негативная
https://www.d-kvadrat.ru/novosti/26425,Спасатели оперативно освободили закрытого в машине ребенка в Удмуртии,"Вчера,  июня, спасатели Удмуртии среагировали на экстренный вызов о закрытом в автомобиле двухлетнем ребенке. Происшествие требовало быстрого реагирования. Об этом сообщила Поисковоспасательная служба Удмуртии. На пульт поисковоспасательного отряда  поступило сообщение о случае, когда маленький ребенок, родившийся в  году, оказался запертым в автомобиле, и его родители не могли открыть машину самостоятельно. Спасатели незамедлительно прибыли на место происшествия и, с помощью специального набора для вскрытия автомобилей, быстро открыли дверь, освободив ребенка и передав его обратно родителям.  Уважаемые родители! Спасатели настоятельно рекомендуют напомнить детям важные правила безопасности, в частности, в автомобилях, чтобы не подвергать опасности и стрессу ни себя, ни ребенка. Будьте внимательны! Берегите себя и своих близких!  призывают в Поисковоспасательнаяой службе Удмуртии. В случае возникновения экстренной ситуации родители и все жители могут обратиться за помощью по номеру , чтобы оперативно получить поддержку и помощь спасателей. Напомним, Психология на войне и после неё: как быть готовым к боевому стрессу и как оказать помощь при ПТСР?",0,Позитивная
https://www.d-kvadrat.ru/novosti/28679,Дети участников СВО и из «Движения первых» посетили выставку-форум «Россия» на московском ВДНХ,"На выставке ребятам особенно запомнился павильон, посвященный родной республике Мы из Удмуртии. Об этом сообщила прессслужба администрации Главы и правительства УР  ребят от  до  лет, входящих в Общероссийское движение детей и молодежи Движение Первых и еще столько же из семей участников СВО приняли участие в международной выставкефоруме Россия, которая проходит до  апреля  года на московском ВДНХ. Среди ребят был Радомир, мечтающий стать психологом: Мне очень понравилась Красная площадь. Новогодняя атмосфера и ярмарка там  невероятные! Это очень запоминающееся событие в моей жизни.  Я благодарю организаторов и сопровождающих,  говорит Радомир. Так, ребята посетили и павильон  , в котором находится стенд Мы из Удмуртии. Стенд очень запомнился летнему Владиславу. Мальчик занимается карате и участвует в соревнованиях: Особенно мне запомнится стенд Удмуртией и галерея  там царят особенные атмосферы. Ещё мы видели елки разных регионов. Наша впечатлила больше всего, особенно игрушки в удмуртском стиле,  рассказывает Владислав. Напомним, выставка проходит до  апреля  года. Стенд Мы из Удмуртии находится в павильоне   ВДНХ. Вход на выставку свободный.",0,Позитивная
https://www.d-kvadrat.ru/novosti/27700,В Удмуртии начнут отмечать День мировой юстиции Удмуртии,"Такое решение было принято  сентября в ходе сессии Госсовета Удмуртии.  июня  года в Удмуртии был принят закон О мировых судьях Удмуртской Республики, действующий и в настоящее время. В память об этой дате в Удмуртии создадут праздник  День мировой юстиции Удмуртии. Председатель постоянной комиссии Госсовета по государственному строительству и местному самоуправлению Александр Прозоров отметил: Институт мировых судей создан более  лет назад и стал одним из ключевых моментов судебной реформы.  июня  года был принят закон о мировых судьях Удмуртии и спустя ровна один год   июня  года Государственным советом были назначены первые  мировых судей. В настоящее время в республике их работает .",0,Позитивная
https://www.d-kvadrat.ru/novosti/23134,Сегодня на сессии Госсовета Удмуртии депутаты поддержали  кандидатуры председателя и всех вице-премьеров регионального Правительства ,"На прошедшей сегодня,  ноября, сессии Государственного Совета Удмуртии депутаты рассмотрели  вопрос, в том числе  проектов законов и кандидатуры на пост председателя Правительства региона и всех вицепремьеров. Об этом сообщила прессслужба республиканского парламента. Парламентарии рассмотрели кандидатуру Ярослава Семенова для согласования на пост председателя Правительства Удмуртии. Депутаты также утвердили кандидатуры всех действующих вицепремьеров регианального кабмина. Это:   Константин Сунцов первый заместитель председателя регионального правительства. Его значимые достижения отметили в области инвестиций и развитии малого и среднего предпринимательства.  Ольга Абрамова, курирующая в правительстве вопросы агропромышленнокго комплекса. Объем экспорта сельхозпродукции Удмуртии за пять лет вырос в  раза  с , млн долларов до  миллионов. Важное направления работы Ольги Абрамовой  развитие сельских территорий. По объемам и качеству реализации данного направления Удмуртия занимает е место в России. В  году введено в оборот более  тыс. гектаров земель сельхозназначения.  Роман Ефимов, овечающий за финансовоимущественный блок  под его руководством  в регионе активно развиваются практики инициативного бюджетирования.  Эльвира Пинчук, отвечающая за одно из самых сложных и социально значимых направлений  отрасль здравоохранения. За время ее работы в бюджетных организациях региона увеличилось число врачей и среднего медперсонала в общей сложности на  человек.  Сергей Смирнов постоянный представитель Главы Удмуртии при Президенте России. Благодаря реформе, задуманной и реализованной при его непосредственном участии, в администрациях выстроена понятная и управляемая иерархическая структура.  Татьяна Чуракова, курирующая направления образования и науки, социальной политики и труда, социальной защиты населения. При ее активном участии в рейтинге субъектов страны по итогам Государственной итоговой аттестации ГИА поднялась с  позиции на , а по предварительным результатам оценки региональных управленческих механизмов регион занял  место.  Ильяс Ханнанов, отвечающий за вопросы по обеспечению безопасности граждан. С начала проведения специальной военной операции при его участии обеспечивается отбор военнослужащих по контракту. Совместно с представителями комиссариата неоднократно выезжал в войсковую частьформирователь для проведения встреч с мобилизованными из Удмуртии и доставки материальных средств. Кроме того, в ходе проведения сегодняшней сессии депутаты рассмотрели в первом чтении следующие законопроекты:  О бюджете Удмуртской Республики на  год и на плановый период  и  годов;   О бюджете Территориального фонда обязательного медицинского страхования Удмуртской Республики на  год и на плановый период  и  годов;  О выявлении, развитии, поддержке и реализации талантов у детей и молодежи в Удмуртской Республике. Напомним, вторая сессия Госсовета Удмуртии седьмого созыва проходит сегодня,  ноября, в Ижевске. На сайте республиканского парламента была организована прямая трансляция данного мероприятия.",0,Позитивная
https://www.d-kvadrat.ru/novosti/25683,Житель Каракулинского района Удмуртии избил жену и приковал ее к батарее,"Житель Каракулинского района будет предстанет перед судом по обвинению в незаконном лишении своей жены свободы. После побоев он приковал ее к батарее. Об этом сообщила прессслужба прокуратуры Удмуртии. Обвинительное заключение было утверждено прокурором района. Мужчина в возрасте  лет обвиняется по статье  УК РФ в незаконном лишении свободы, не связанном с похищением.  По версии следствия, в апреле  года мужчина нанес побои своей жене и затем связал ее металлической цепью, закрепленной на системе отопления. Закрыв входную дверь на навесной замок, он ушел на работу в соседний регион, оставив жену наедине с собой на пять часов. Женщина смогла добраться до телефона и сообщить о произошедшем в полицию.  Уголовное дело направлено в мировой суд для рассмотрения по существу. Если мужчина будет признан виновным, ему грозит до двух лет лишения свободы. Напомним, в Ижевске задержали подозреваемых в убийстве на Дзержинского.",0,Негативная
https://www.d-kvadrat.ru/novosti/26807,Масштабная реконструкция гимназии: ученики Глазова получат обновленное здание,"Гимназия   города Глазова претерпевает капитальный ремонт в рамках федеральной программы Модернизация школьных систем образования. Сергей Чинейкин, генеральный директор АО Чепецкий механический завод и депутат Государственного Совета Удмуртии, посетил учреждение, оценил прогресс ремонтных работ и обсудил дальнейший план с директором гимназии. Об этом сообщила прессслужба Госсовета Удмуртии. Гимназия   в городе Глазове находится под процессом масштабной реконструкции в рамках федеральной программы Модернизация школьных систем образования. В рамках этого проекта директор гимназии Альберт Дюкин и генеральный директор АО Чепецкий механический завод и депутат Государственного Совета Удмуртии Сергей Чинейкин осмотрели здание и провели анализ качества и темпов ремонтных работ. Здание гимназии, построенное в  году и давно не подвергавшееся капитальному ремонту, теперь получит долгожданные изменения. В ходе реконструкции пересмотрена концепция распределения предметных кабинетов с использованием бережливых технологий. Новая планировка предусматривает кластерный подход, где кабинеты будут расположены по группам: техническая направленность на третьем этаже, гуманитарные предметы на втором этаже с центром в современной библиотеке, а также биологоисторикогеографический кластер на втором этаже. Кроме того, введут кабинеты профориентации и Центр детских инициатив, а также оборудуют актовый зал с новым сценическим и музыкальным оборудованием, а полностью оснастят спортивный зал. Здание гимназии также получит современные системы противопожарной и антитеррористической безопасности. На данный момент продолжаются штукатурномалярные работы, укладка новых полов, электромонтаж и ремонт фасада здания. Сергей Чинейкин отметил, что работы идут согласно графику, и он будет лично следить за каждым этапом реконструкции. Он подчеркнул, что целью является сдать обновленное здание вовремя, чтобы ученики гимназии уже в этом году начали учиться в комфортных и современных условиях.  Лето, солнце, каникулы, а в глазовской гимназии   продолжается масштабная реконструкция. Перед строителями стоит задача сдать объект вовремя. Сейчас ведутся работы по обновлению фасада здания, инженерных сетей и внутренней отделке, установке новой противопожарной и антитеррористической систем безопасности. Здорово, что совсем скоро в школе появятся новые актовый и спортивный залы с новым сценическим и спортивным оборудованием. Уже в этом году ученики гимназии будут учиться в обновлённом здании. Уверен, что этот знаковый строительный проект в Год педагога и наставника в России даст старт на дальнейшее обновление образовательных учреждений города,  прокомментировал Сергей Чинейкин.",0,Позитивная
https://www.d-kvadrat.ru/novosti/26999,3 августа Ижевск зажжет «Свечу поколений»,"Памятная акция начнется в : в Сквере Победы. Об этом сообщает администрация главы и правительства УР.  августа в : Ижевск примет участие в акции Свеча поколений. Сначала ижевчане и гости столицы возложат цветы к Вечному огню, а позже зажгут свечи у стеллы Город трудовой доблести. Из зажженных свечей здесь выложат надпись Ижевск  Донбассу. Всероссийская акция пройдет в этот вечер во многих городах России. Организаторами акции в Удмуртии выступил региональный фонд Защитники Отечества.",0,Позитивная
https://www.d-kvadrat.ru/novosti/28015,Автомобилистов предупреждают о плохой видимости на дорогах,"Удмуртский центр по гидрометеорологии и мониторингу окружающей среды выдал предупреждение о тумане, который ожидается на территории Удмуртской Республики в ночь и утро  октября. Об этом предупреждении сообщает Комитет по делам ГО и ЧС Удмуртской Республики. Прогнозируется, что видимость будет ухудшена до  метров и менее, что может создать опасные ситуации на дорогах. Низкая видимость в условиях тумана может стать причиной автомобильных аварий. Для безопасности на дорогах водителям рекомендуется использовать хорошо настроенные противотуманные фары и снизить скорость движения, учитывая возможность внезапной остановки в пределах видимости. Также рекомендуется избегать лишних маневров, включая обгон и перестроения, а также соблюдать плавные замедления и остановки. В случае несчастного случая или необходимости помощи на дорогах, рекомендуется немедленно звонить по телефону .",0,Негативная
https://www.d-kvadrat.ru/novosti/26786,Национальная библиотека Удмуртии вернула к жизни роман Трофима Архипова,"Специалисты Национальной библиотеки Удмуртии успешно восстановили экземпляр романа Трофима Архипова У реки Лудзинки, ставшего одним из ключевых произведений удмуртской литературы. После месяца тщательных работ по очистке, восстановлению страниц и переплету, книга теперь доступна для читателей в Центре национальной и краеведческой литературы на первом этаже библиотеки. Об этом сообщила прессслужба главы и правительства Удмуртии. Редкие и старинные книги не единственные, которым требуется реставрация. Национальная библиотека Удмуртии продемонстрировала свою экспертизу, восстановив экземпляр важного произведения удмуртской литературы  романа У реки Лудзинки Трофима Архипова, изданного в  году. Процесс реставрации занял месяц и включал очистку книги от ненужных элементов, восстановление поврежденных страниц и обновление переплета. Во время работ специалисты обнаружили интересную особенность  заклейки из кусочков газет, что вызвало дополнительный интерес книги и возможность дальнейшего исследования. В настоящее время обновленный экземпляр романа доступен для ознакомления читателям в Центре национальной и краеведческой литературы, расположенном на первом этаже Национальной библиотеки Удмуртии. Это стало значимым событием для любителей удмуртской литературы, а также для исследователей и историков. Следующими объектами реставрации в Национальной библиотеке Удмуртии станут афиши и плакаты, связанные с историей и культурой Удмуртии х годов. Эти материалы являются важными историческими документами, отражающими творческое наследие и общественные события того времени.",0,Позитивная
